NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
FI20,77719.44444444444,27777.777777777777,6002.777777777777,0,0,112347.22222222222,0,894.4444444444445
FR,0,0,0,0,26908041.666666664,0,2499.9999999999995,0
FR10,621074.9999999999,111111.11111111111,218308.3333333333,138888.88888888888,0,12588063.888888888,0,4345500.0
FR21,1986869.4444444443,388888.8888888889,738322.2222222221,2222222.222222222,0,25823386.11111111,0,5561916.666666666
FR22,710038.8888888888,138888.88888888888,244838.88888888885,1888888.8888888888,0,30536366.666666668,0,5335880.555555555
FR23,415094.44444444444,111111.11111111111,167700.0,2222222.222222222,0,7904858.333333332,0,2754513.8888888885
FR24,2579174.9999999995,499999.99999999994,918016.6666666666,2083333.3333333333,0,24196119.444444444,0,8838791.666666666
FR25,382908.3333333333,83333.33333333333,142338.88888888888,6444444.444444444,0,7143374.999999999,0,1669538.8888888888
FR26,2568216.6666666665,583333.3333333333,1066525.0,3138888.8888888885,0,16035430.555555556,0,3705694.444444444
FR30,232558.33333333334,27777.777777777777,95613.88888888889,2527777.7777777775,0,13728002.777777774,0,2710180.5555555555
FR41,2786627.7777777775,527777.7777777778,955397.2222222222,3055555.5555555555,0,11419983.333333334,0,2830175.0
FR42,1243858.3333333333,249999.99999999997,433252.7777777777,583333.3333333333,0,5210722.222222221,0,896552.7777777776
FR43,2261855.5555555555,388888.8888888889,693052.7777777778,1527777.7777777775,0,6465947.222222221,0,751302.7777777778
FR51,941677.7777777778,166666.66666666666,298119.4444444444,11861111.111111112,0,10072163.888888888,0,2449316.6666666665
FR52,923100.0,166666.66666666666,338377.7777777777,16944444.444444444,0,8637500.0,0,1371052.7777777778
FR53,1217952.7777777775,222222.22222222222,413741.6666666666,3611111.1111111105,0,11749488.888888886,0,4781969.444444444
FR61,9581602.777777778,1138888.8888888888,2094538.8888888885,1999999.9999999998,0,20272119.444444444,0,1592611.111111111
