NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
EL53,87861.11111111111,27777.777777777777,62372.22222222221,0,0,966794.4444444444,0,283255.55555555556
EL54,135405.55555555556,27777.777777777777,107213.88888888888,55555.555555555555,0,1487405.5555555553,0,35502.77777777778
EL61,119825.0,27777.777777777777,92236.11111111111,138888.88888888888,0,909955.5555555555,0,213116.66666666666
EL62,19305.555555555555,0,17133.333333333332,0,0,183794.44444444444,0,4208.333333333333
EL63,88850.0,27777.777777777777,62436.1111111111,55555.555555555555,0,1219400.0,0,108600.0
EL64,109997.2222222222,27777.777777777777,81258.33333333333,55555.555555555555,0,1072186.1111111112,0,42827.777777777774
EL65,142344.4444444444,27777.777777777777,113844.44444444442,55555.555555555555,0,1397544.4444444443,0,191769.44444444444
ES,0,0,0,0,6114019.444444444,0,275000.0,0
ES11,1007355.5555555555,166666.66666666666,259769.4444444444,388888.8888888889,0,2888341.6666666665,0,38419.444444444445
ES12,374599.9999999999,55555.555555555555,98672.2222222222,0,0,732725.0,0,139919.44444444444
ES13,174016.66666666666,27777.777777777777,45030.555555555555,0,0,367347.22222222213,0,40133.33333333333
ES21,293274.99999999994,27777.777777777777,81588.88888888888,0,0,2895894.4444444445,0,32019.444444444445
ES22,479099.99999999994,55555.555555555555,121380.55555555555,388888.8888888889,0,3941350.0,0,325527.77777777775
ES23,150474.99999999997,27777.777777777777,39827.777777777774,27777.777777777777,0,1865613.8888888885,0,160386.11111111112
ES24,1574297.2222222222,222222.2222222222,391591.6666666666,3416666.6666666665,0,16857027.777777776,0,290647.2222222222
ES30,181088.88888888888,27777.777777777777,38238.88888888888,750000.0,0,1962808.333333333,0,63983.33333333333
ES41,2666230.555555555,361111.1111111111,634927.7777777778,3916666.6666666665,0,42353588.88888889,0,3591133.333333333
ES42,1382927.7777777775,222222.2222222222,373802.77777777775,4555555.555555555,0,14955874.999999998,0,2866941.666666666
ES43,882430.5555555555,138888.88888888888,244091.66666666666,694444.4444444444,0,3961677.777777777,0,441352.77777777775
ES51,1632636.111111111,250000.0,433358.3333333333,2444444.444444444,0,5207847.222222221,0,491377.77777777775
ES52,569711.111111111,83333.33333333333,145791.66666666666,333333.3333333333,0,5787538.888888888,0,345613.8888888889
ES53,89738.88888888889,0,27816.666666666664,0,0,761086.111111111,0,66855.55555555555
ES61,1801994.4444444445,333333.3333333333,553025.0,1833333.3333333333,0,18900636.11111111,0,1778175.0
ES62,146683.3333333333,27777.777777777777,38655.555555555555,1138888.8888888888,0,5879999.999999999,0,257141.66666666666
ES70,0,0,0,0,0,3025.0,0,0
FI,0,0,0,0,2573343.8888888885,0,658611.111111111,0
FI19,288858.3333333333,416666.6666666666,278011.11111111107,222222.22222222222,0,11286450.0,0,266.66666666666663
FI1B,1090822.2222222222,361111.11111111107,67447.22222222222,0,0,2997294.4444444445,0,333527.77777777775
FI1C,3311224.9999999995,1166666.6666666665,224175.0,0,0,10003861.11111111,0,1139552.7777777778
FI1D,8902638.888888888,3277777.7777777775,626883.3333333333,27777.777777777777,0,23116069.444444444,0,333333.3333333333
FI20,3893188.8888888885,1027777.7777777778,3000.0,0,0,119100.0,0,1472222.222222222
FR,0,0,0,0,17722319.444444444,0,1388.8888888888887,0
FR10,310536.1111111111,55555.555555555555,109152.77777777777,27777.777777777777,0,12051855.555555556,0,2898002.7777777775
FR21,1007324.9999999999,222222.22222222222,369161.11111111107,361111.11111111107,0,25016158.33333333,0,3614130.5555555555
FR22,341130.5555555555,83333.33333333333,122419.44444444442,250000.0,0,30043019.444444444,0,3556763.8888888885
FR23,207547.22222222222,27777.777777777777,83850.0,194444.44444444444,0,7675780.555555555,0,1780455.5555555553
FR24,1275697.2222222222,249999.99999999997,459008.3333333333,444444.4444444444,0,22179194.444444444,0,5697633.333333332
FR25,191455.55555555556,27777.777777777777,71169.44444444444,666666.6666666666,0,6706661.11111111,0,695375.0
FR26,1270219.4444444445,277777.77777777775,533263.8888888889,222222.2222222222,0,14480647.222222222,0,2118641.6666666665
FR30,116280.55555555555,27777.777777777777,47808.333333333336,277777.77777777775,0,13382469.444444442,0,1742822.2222222218
FR41,1379424.9999999998,249999.99999999997,477699.99999999994,166666.66666666666,0,10574561.11111111,0,1687130.5555555555
FR42,621930.5555555555,111111.11111111111,216625.0,111111.11111111111,0,4827316.666666666,0,361994.4444444444
FR43,1130927.7777777778,194444.44444444444,346527.77777777775,27777.777777777777,0,5918922.222222222,0,287219.44444444444
FR51,484727.77777777775,83333.33333333333,149058.3333333333,3111111.111111111,0,8970447.22222222,0,717194.4444444444
FR52,447661.1111111111,111111.11111111111,169188.88888888885,7277777.777777776,0,7934155.555555556,0,391627.77777777775
FR53,608974.9999999999,111111.11111111111,206872.2222222222,861111.1111111111,0,10056788.888888888,0,2592180.5555555555
FR61,4776913.888888888,583333.3333333333,1047269.4444444443,499999.99999999994,0,17628111.111111112,0,648041.6666666666
FR62,1270408.3333333333,249999.99999999997,455624.99999999994,250000.0,0,12238363.888888888,0,1201480.5555555553
FR63,852591.6666666666,222222.22222222222,370294.4444444444,111111.11111111111,0,5992586.11111111,0,52130.55555555555
FR71,2093641.6666666665,388888.8888888889,702777.7777777776,499999.99999999994,0,11125311.11111111,0,681727.7777777778
FR72,1325099.9999999998,249999.99999999997,472949.99999999994,166666.66666666666,0,8702372.222222222,0,544824.9999999999
FR81,932777.7777777778,166666.66666666666,318794.4444444444,0,0,5406808.333333332,0,253433.3333333333
FR82,1045624.9999999999,166666.66666666666,315752.77777777775,0,0,4745280.555555556,0,190066.66666666663
FR83,116697.22222222222,27777.777777777777,41000.0,0,0,522919.4444444444,0,107527.77777777775
FRA3,0,0,0,0,0,750.0,0,0
FRA4,0,0,0,0,0,222.2222222222222,0,0
HR,0,0,0,0,17038.333333333332,0,7222.222222222221,0
HR03,1099430.5555555555,15477.870370370369,45697.63888888888,108271.06481481482,0,3619755.555555555,0,252916.66666666663
HR04,1108377.7777777778,77389.35185185184,228488.1944444444,541355.324074074,0,13955338.888888888,0,878833.3333333333
HU,0,0,0,0,1895063.611111111,0,55000.0,0
HU10,551155.5555555555,27777.777777777777,60019.444444444445,388888.8888888888,0,4541116.666666666,0,406641.6666666666
HU21,708508.3333333333,27777.777777777777,91466.66666666666,2277777.7777777775,0,5275249.999999998,0,915352.7777777778
HU22,1332497.2222222222,55555.555555555555,154369.4444444444,1333333.3333333333,0,5589661.111111111,0,1073305.5555555555
HU23,1162613.8888888888,55555.555555555555,147972.2222222222,2388888.8888888885,0,7703894.444444444,0,1122108.3333333333
HU31,1161374.9999999998,55555.555555555555,161644.44444444444,777777.7777777778,0,5664925.0,0,739766.6666666666
HU32,844477.7777777776,27777.777777777777,84433.33333333333,4333333.333333333,0,6552405.555555555,0,1032686.111111111
HU33,1065280.5555555555,27777.777777777777,99516.66666666666,3472222.2222222215,0,8322324.999999999,0,1720016.6666666665
IE,0,0,0,0,418454.44444444444,0,277.77777777777777,0
IE01,1219049.9999999998,388888.8888888889,374075.0,555555.5555555555,0,4475686.111111111,0,11730.555555555555
IE02,748044.4444444444,222222.22222222222,234794.44444444444,555555.5555555555,0,3925538.8888888885,0,15947.22222222222
IS,0,0,0,0,219663.88888888888,0,0,0
IT,0,0,0,0,6811972.222222221,0,49444.44444444444,0
ITC1,1567174.9999999998,166666.66666666666,182816.66666666663,3361111.1111111105,0,7078241.666666666,0,1072430.5555555555
ITC2,123997.2222222222,0,13891.666666666664,0,0,279697.2222222222,0,14772.22222222222
ITC3,1151100.0,83333.33333333333,123919.44444444444,0,0,1937844.444444444,0,28341.666666666664
ITC4,1137888.8888888888,111111.11111111111,138313.88888888888,4972222.222222222,0,8689566.666666664,0,506308.3333333333
ITF1,564805.5555555555,55555.555555555555,74327.77777777777,111111.11111111111,0,2225013.8888888885,0,325669.4444444444
ITF2,142836.1111111111,0,18122.222222222223,27777.777777777777,0,1266552.7777777775,0,578680.5555555555
ITF3,763180.5555555555,55555.555555555555,94283.33333333333,305555.5555555555,0,2549675.0,0,338994.4444444444
ITF4,163288.88888888888,27777.777777777777,20763.888888888887,27777.777777777777,0,6170141.666666666,0,1146150.0
ITF5,315936.11111111107,27777.777777777777,40861.11111111111,55555.555555555555,0,3425958.333333333,0,153461.1111111111
ITF6,818227.7777777778,83333.33333333333,103222.2222222222,27777.777777777777,0,2128758.333333333,0,234580.55555555553
ITG1,373113.8888888889,27777.777777777777,44922.22222222222,27777.777777777777,0,2515861.111111111,0,1132916.6666666665
ITG2,216097.22222222222,27777.777777777777,28299.999999999996,83333.33333333333,0,1256605.5555555555,0,13680.555555555553
ITH1,552161.1111111111,55555.555555555555,72022.22222222222,0,0,1292808.3333333333,0,19886.11111111111
ITH2,1098538.8888888888,111111.11111111111,148091.66666666666,0,0,2289308.3333333335,0,7044.444444444444
ITH3,1010574.9999999999,83333.33333333333,133855.55555555553,3388888.888888888,0,13595327.777777776,0,746402.7777777778
ITH4,995383.3333333333,83333.33333333333,127736.1111111111,555555.5555555555,0,2949027.7777777775,0,172152.77777777778
ITH5,992513.8888888888,111111.11111111111,143827.77777777778,2083333.3333333333,0,18743641.666666664,0,276558.3333333333
ITI1,1695675.0,166666.66666666666,194258.3333333333,111111.11111111111,0,4657930.555555556,0,216622.22222222222
ITI2,209861.1111111111,27777.777777777777,27358.33333333333,194444.44444444444,0,1446422.2222222222,0,132702.77777777778
ITI3,404580.55555555556,27777.777777777777,53199.99999999999,138888.88888888888,0,3563091.6666666665,0,373219.44444444444
ITI4,942927.7777777778,83333.33333333333,111988.88888888889,277777.77777777775,0,2844441.6666666665,0,134775.0
LT,0,0,0,0,288320.8333333333,0,0,0
LT00,3937544.444444444,694444.4444444444,509688.8888888889,3888888.8888888885,0,28783297.222222216,0,2810769.4444444445
LU,0,0,0,0,29783.33333333333,0,0,0
LU00,267861.1111111111,102548.05555555555,15219.166666666664,0,0,890141.6666666666,0,43802.49999999999
LV,0,0,0,0,165037.77777777775,0,277.77777777777777,0
LV00,7324113.888888888,2222222.222222222,489819.4444444444,1722222.222222222,0,19133288.888888888,0,1372522.222222222
ME,138888.88888888888,0,0,27777.777777777777,0.0,994808.3333333333,0,2394.4444444444443
MK,313102.77777777775,0,0,138888.88888888888,186861.1111111111,4012994.444444444,1388.8888888888887,80694.44444444444
MT,0,0,0,0,989432.4999999999,0,0,0
MT00,0,0,3795.833333333333,0,0,0,0,3132.7777777777774
NL,0,0,0,0,10241063.888888888,0,72777.77777777778,0
NL11,6927.777777777777,0,5411.11111111111,333333.3333333333,0,1363150.0,0,10558.333333333332
NL12,8913.888888888889,0,8644.444444444443,611111.111111111,0,767533.3333333333,0,7166.666666666666
NL13,75322.22222222222,0,37013.88888888889,416666.6666666666,0,1357024.9999999998,0,16666.666666666664
NL21,114058.33333333333,0,45066.666666666664,694444.4444444444,0,843822.2222222222,0,95413.88888888888
NL22,253169.4444444444,27777.777777777777,106091.66666666666,1138888.8888888888,0,1440691.6666666665,0,41900.0
NL23,1266.6666666666665,0,1058.3333333333333,138888.88888888888,0,875947.2222222221,0,92494.44444444444
NL31,36538.88888888888,0,19088.888888888887,111111.11111111111,0,269130.55555555556,0,291.66666666666663
NL32,15636.11111111111,0,10905.555555555555,55555.555555555555,0,786124.9999999999,0,39866.666666666664
NL33,3955.5555555555547,0,3811.111111111111,0,0,625652.7777777778,0,94533.33333333331
NL34,4988.888888888889,0,3813.8888888888882,83333.33333333333,0,1380386.111111111,0,217749.99999999997
